                    ************************************************************************************************
                    *  Z= 22 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 46 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  30.00  2.058  4.96E+04 3.72E+06 3.63E+04 3.95E+01 1.15E+02 1.81E+02 2.32E+02 2.65E+02 2.80E+02 2.76E+02 2.58E+02 2.29E+02 1.93E+02 1.56E+02 1.20E+02 8.71E+01 6.05E+01 4.01E+01 2.52E+01 1.50E+01 8.41E+00 4.46E+00 2.22E+00 1.04E+00 4.54E-01 1.87E-01 7.29E-02 2.63E-02 8.67E-03 2.52E-03 1.73E-03 3.75E-04 1.00E-30
  40.00  2.377  2.71E+05 4.57E+07 1.49E+05 1.58E+02 4.61E+02 7.25E+02 9.29E+02 1.06E+03 1.12E+03 1.11E+03 1.04E+03 9.24E+02 7.85E+02 6.36E+02 4.92E+02 3.63E+02 2.55E+02 1.73E+02 1.12E+02 6.92E+01 4.07E+01 2.27E+01 1.20E+01 5.95E+00 2.78E+00 1.22E+00 5.05E-01 1.95E-01 7.09E-02 2.36E-02 6.52E-03 1.31E-03 9.64E-05
  50.00  2.657  1.35E+06 7.06E+08 8.43E+05 8.57E+02 2.50E+03 3.92E+03 5.04E+03 5.78E+03 6.12E+03 6.08E+03 5.72E+03 5.13E+03 4.39E+03 3.60E+03 2.83E+03 2.13E+03 1.54E+03 1.06E+03 7.04E+02 4.45E+02 2.67E+02 1.53E+02 8.30E+01 4.24E+01 2.04E+01 9.17E+00 3.79E+00 1.43E+00 4.86E-01 1.43E-01 3.49E-02 6.34E-03 6.21E-04
  60.00  2.911  7.61E+06 8.40E+09 4.29E+06 4.04E+03 1.18E+04 1.86E+04 2.40E+04 2.76E+04 2.95E+04 2.96E+04 2.81E+04 2.55E+04 2.22E+04 1.85E+04 1.48E+04 1.13E+04 8.34E+03 5.92E+03 4.01E+03 2.62E+03 1.63E+03 9.70E+02 5.49E+02 2.96E+02 1.52E+02 7.35E+01 3.34E+01 1.43E+01 5.70E+00 2.10E+00 7.06E-01 2.03E-01 4.85E-02
  70.00  3.144  4.69E+07 1.35E+11 3.04E+07 2.57E+04 7.51E+04 1.19E+05 1.55E+05 1.80E+05 1.93E+05 1.96E+05 1.88E+05 1.74E+05 1.54E+05 1.30E+05 1.06E+05 8.38E+04 6.37E+04 4.67E+04 3.29E+04 2.23E+04 1.45E+04 9.08E+03 5.44E+03 3.12E+03 1.71E+03 8.89E+02 4.39E+02 2.05E+02 8.94E+01 3.65E+01 1.37E+01 4.74E+00 1.47E+00
  80.00  3.361  2.67E+08 1.65E+12 1.71E+08 1.37E+05 4.02E+05 6.38E+05 8.29E+05 9.68E+05 1.05E+06 1.06E+06 1.03E+06 9.57E+05 8.52E+05 7.32E+05 6.05E+05 4.82E+05 3.71E+05 2.76E+05 1.98E+05 1.36E+05 9.09E+04 5.82E+04 3.58E+04 2.12E+04 1.20E+04 6.51E+03 3.36E+03 1.64E+03 7.63E+02 3.32E+02 1.35E+02 5.13E+01 1.79E+01
  90.00  3.565  1.37E+09 1.74E+13 8.79E+08 6.66E+05 1.95E+06 3.10E+06 4.03E+06 4.72E+06 5.13E+06 5.26E+06 5.11E+06 4.80E+06 4.30E+06 3.74E+06 3.12E+06 2.52E+06 1.97E+06 1.49E+06 1.08E+06 7.66E+05 5.23E+05 3.44E+05 2.18E+05 1.33E+05 7.84E+04 4.44E+04 2.40E+04 1.24E+04 6.13E+03 2.88E+03 1.28E+03 5.37E+02 2.13E+02
 100.00  3.758  6.30E+09 1.58E+14 4.08E+09 2.78E+06 8.14E+06 1.30E+07 1.71E+07 2.00E+07 2.19E+07 2.27E+07 2.24E+07 2.12E+07 1.93E+07 1.70E+07 1.45E+07 1.20E+07 9.59E+06 7.45E+06 5.59E+06 4.08E+06 2.88E+06 1.98E+06 1.31E+06 8.42E+05 5.22E+05 3.13E+05 1.81E+05 1.01E+05 5.39E+04 2.76E+04 1.36E+04 6.39E+03 2.86E+03
 110.00  3.941  2.52E+10 1.18E+15 1.60E+10 1.01E+07 2.98E+07 4.75E+07 6.25E+07 7.38E+07 8.08E+07 8.40E+07 8.40E+07 8.01E+07 7.38E+07 6.57E+07 5.67E+07 4.75E+07 3.86E+07 3.04E+07 2.33E+07 1.73E+07 1.25E+07 8.77E+06 5.97E+06 3.94E+06 2.52E+06 1.56E+06 9.38E+05 5.43E+05 3.04E+05 1.64E+05 8.52E+04 4.25E+04 2.03E+04
 120.00  4.117  9.37E+10 8.05E+15 5.93E+10 3.51E+07 1.03E+08 1.65E+08 2.18E+08 2.59E+08 2.85E+08 2.98E+08 2.98E+08 2.87E+08 2.67E+08 2.40E+08 2.09E+08 1.77E+08 1.46E+08 1.17E+08 9.07E+07 6.86E+07 5.06E+07 3.62E+07 2.52E+07 1.70E+07 1.12E+07 7.15E+06 4.43E+06 2.66E+06 1.54E+06 8.69E+05 4.71E+05 2.48E+05 1.25E+05
