                    ************************************************************************************************
                    *  Z= 28 A= 60: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 60 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  30.00  2.285  3.47E+08 3.24E+07 4.14E+08 6.19E+05 1.79E+06 2.76E+06 3.44E+06 3.79E+06 3.83E+06 3.59E+06 3.16E+06 2.64E+06 2.08E+06 1.57E+06 1.13E+06 7.71E+05 5.05E+05 3.17E+05 1.90E+05 1.09E+05 6.03E+04 3.19E+04 1.62E+04 7.90E+03 3.69E+03 1.66E+03 7.15E+02 2.96E+02 1.18E+02 4.51E+01 1.66E+01 5.85E+00 1.99E+00
  40.00  2.639  3.81E+10 1.89E+09 2.60E+10 3.10E+07 8.99E+07 1.40E+08 1.78E+08 2.00E+08 2.08E+08 2.01E+08 1.84E+08 1.61E+08 1.33E+08 1.06E+08 8.08E+07 5.91E+07 4.16E+07 2.81E+07 1.83E+07 1.15E+07 6.98E+06 4.07E+06 2.30E+06 1.25E+06 6.55E+05 3.32E+05 1.62E+05 7.67E+04 3.50E+04 1.54E+04 6.57E+03 2.71E+03 1.08E+03
  50.00  2.950  1.44E+12 7.01E+10 1.03E+12 1.02E+09 2.98E+09 4.69E+09 6.01E+09 6.87E+09 7.25E+09 7.19E+09 6.76E+09 6.06E+09 5.20E+09 4.29E+09 3.40E+09 2.60E+09 1.92E+09 1.37E+09 9.42E+08 6.27E+08 4.04E+08 2.52E+08 1.52E+08 8.90E+07 5.05E+07 2.77E+07 1.47E+07 7.61E+06 3.81E+06 1.85E+06 8.68E+05 3.96E+05 1.75E+05
  60.00  3.232  3.89E+13 1.87E+12 2.88E+13 2.49E+10 7.27E+10 1.15E+11 1.48E+11 1.72E+11 1.84E+11 1.85E+11 1.77E+11 1.62E+11 1.43E+11 1.21E+11 9.86E+10 7.79E+10 5.95E+10 4.40E+10 3.15E+10 2.19E+10 1.48E+10 9.67E+09 6.14E+09 3.79E+09 2.27E+09 1.32E+09 7.49E+08 4.12E+08 2.20E+08 1.14E+08 5.79E+07 2.84E+07 1.36E+07
  70.00  3.491  8.17E+14 3.89E+13 6.22E+14 4.77E+11 1.40E+12 2.22E+12 2.88E+12 3.36E+12 3.63E+12 3.70E+12 3.59E+12 3.35E+12 3.00E+12 2.59E+12 2.17E+12 1.75E+12 1.37E+12 1.05E+12 7.73E+11 5.55E+11 3.88E+11 2.63E+11 1.74E+11 1.12E+11 7.00E+10 4.26E+10 2.53E+10 1.46E+10 8.22E+09 4.51E+09 2.41E+09 1.25E+09 6.36E+08
  80.00  3.732  1.40E+16 6.60E+14 1.09E+16 7.56E+12 2.22E+13 3.53E+13 4.61E+13 5.41E+13 5.89E+13 6.07E+13 5.96E+13 5.62E+13 5.11E+13 4.49E+13 3.82E+13 3.15E+13 2.53E+13 1.97E+13 1.49E+13 1.10E+13 7.90E+12 5.52E+12 3.76E+12 2.50E+12 1.62E+12 1.02E+12 6.30E+11 3.79E+11 2.22E+11 1.27E+11 7.09E+10 3.87E+10 2.06E+10
  90.00  3.958  2.04E+17 9.49E+15 1.62E+17 1.02E+14 3.00E+14 4.79E+14 6.29E+14 7.42E+14 8.14E+14 8.45E+14 8.38E+14 7.99E+14 7.35E+14 6.55E+14 5.65E+14 4.74E+14 3.87E+14 3.07E+14 2.37E+14 1.79E+14 1.31E+14 9.41E+13 6.58E+13 4.49E+13 2.99E+13 1.95E+13 1.24E+13 7.69E+12 4.66E+12 2.76E+12 1.60E+12 9.06E+11 5.01E+11
 100.00  4.172  2.58E+18 1.19E+17 2.08E+18 1.21E+15 3.56E+15 5.70E+15 7.50E+15 8.89E+15 9.81E+15 1.03E+16 1.03E+16 9.86E+15 9.17E+15 8.26E+15 7.22E+15 6.14E+15 5.08E+15 4.10E+15 3.22E+15 2.47E+15 1.85E+15 1.36E+15 9.68E+14 6.76E+14 4.61E+14 3.08E+14 2.01E+14 1.28E+14 7.99E+13 4.88E+13 2.91E+13 1.70E+13 9.74E+12
 110.00  4.376  2.89E+19 1.32E+18 2.37E+19 1.28E+16 3.77E+16 6.04E+16 7.98E+16 9.49E+16 1.05E+17 1.11E+17 1.11E+17 1.08E+17 1.01E+17 9.21E+16 8.15E+16 7.01E+16 5.87E+16 4.80E+16 3.83E+16 2.99E+16 2.27E+16 1.69E+16 1.23E+16 8.77E+15 6.11E+15 4.17E+15 2.78E+15 1.82E+15 1.16E+15 7.27E+14 4.46E+14 2.68E+14 1.57E+14
 120.00  4.571  2.93E+20 1.32E+19 2.42E+20 1.23E+17 3.61E+17 5.80E+17 7.68E+17 9.17E+17 1.02E+18 1.08E+18 1.09E+18 1.07E+18 1.01E+18 9.25E+17 8.25E+17 7.17E+17 6.08E+17 5.03E+17 4.06E+17 3.21E+17 2.48E+17 1.87E+17 1.39E+17 1.00E+17 7.12E+16 4.94E+16 3.36E+16 2.24E+16 1.46E+16 9.37E+15 5.88E+15 3.61E+15 2.18E+15
 130.00  4.757  2.71E+21 1.21E+20 2.26E+21 1.08E+18 3.17E+18 5.10E+18 6.77E+18 8.11E+18 9.06E+18 9.62E+18 9.79E+18 9.62E+18 9.15E+18 8.45E+18 7.61E+18 6.67E+18 5.71E+18 4.77E+18 3.90E+18 3.12E+18 2.44E+18 1.87E+18 1.40E+18 1.03E+18 7.42E+17 5.24E+17 3.63E+17 2.46E+17 1.64E+17 1.07E+17 6.84E+16 4.29E+16 2.65E+16
