                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  30.00  1.579  4.42E+14 4.35E+13 6.58E+14 5.94E+11 1.73E+12 2.73E+12 3.53E+12 4.06E+12 4.33E+12 4.34E+12 4.13E+12 3.76E+12 3.28E+12 2.76E+12 2.24E+12 1.75E+12 1.32E+12 9.68E+11 6.86E+11 4.71E+11 3.13E+11 2.02E+11 1.27E+11 7.69E+10 4.53E+10 2.60E+10 1.44E+10 7.79E+09 4.09E+09 2.08E+09 1.03E+09 4.96E+08 2.32E+08
  40.00  1.823  4.69E+17 2.34E+16 3.83E+17 2.75E+14 8.06E+14 1.28E+15 1.67E+15 1.96E+15 2.12E+15 2.18E+15 2.13E+15 2.00E+15 1.81E+15 1.58E+15 1.34E+15 1.10E+15 8.72E+14 6.73E+14 5.06E+14 3.69E+14 2.63E+14 1.82E+14 1.22E+14 8.04E+13 5.14E+13 3.21E+13 1.95E+13 1.16E+13 6.68E+12 3.76E+12 2.07E+12 1.11E+12 5.80E+11
  50.00  2.038  1.21E+20 6.05E+18 1.05E+20 6.32E+16 1.86E+17 2.97E+17 3.90E+17 4.61E+17 5.08E+17 5.29E+17 5.27E+17 5.05E+17 4.68E+17 4.19E+17 3.65E+17 3.08E+17 2.54E+17 2.03E+17 1.59E+17 1.21E+17 8.97E+16 6.50E+16 4.60E+16 3.18E+16 2.15E+16 1.42E+16 9.16E+15 5.77E+15 3.56E+15 2.15E+15 1.26E+15 7.29E+14 4.11E+14
  60.00  2.233  1.87E+22 9.29E+20 1.69E+22 8.83E+18 2.60E+19 4.17E+19 5.52E+19 6.57E+19 7.30E+19 7.70E+19 7.77E+19 7.56E+19 7.12E+19 6.50E+19 5.77E+19 4.99E+19 4.21E+19 3.46E+19 2.78E+19 2.18E+19 1.67E+19 1.26E+19 9.21E+18 6.61E+18 4.65E+18 3.20E+18 2.15E+18 1.42E+18 9.18E+17 5.81E+17 3.61E+17 2.19E+17 1.31E+17
  70.00  2.411  1.94E+24 9.62E+22 1.82E+24 8.45E+20 2.49E+21 4.01E+21 5.32E+21 6.38E+21 7.14E+21 7.59E+21 7.74E+21 7.62E+21 7.27E+21 6.74E+21 6.08E+21 5.35E+21 4.60E+21 3.86E+21 3.17E+21 2.54E+21 2.00E+21 1.54E+21 1.16E+21 8.59E+20 6.22E+20 4.42E+20 3.08E+20 2.10E+20 1.41E+20 9.27E+19 5.98E+19 3.78E+19 2.35E+19
  80.00  2.578  1.48E+26 7.29E+24 1.42E+26 5.98E+22 1.77E+23 2.85E+23 3.80E+23 4.57E+23 5.14E+23 5.51E+23 5.66E+23 5.63E+23 5.42E+23 5.09E+23 4.65E+23 4.15E+23 3.62E+23 3.09E+23 2.58E+23 2.11E+23 1.69E+23 1.33E+23 1.03E+23 7.76E+22 5.76E+22 4.20E+22 3.01E+22 2.11E+22 1.46E+22 9.88E+21 6.57E+21 4.30E+21 2.76E+21
  90.00  2.734  8.71E+27 4.28E+26 8.60E+27 3.31E+24 9.77E+24 1.58E+25 2.11E+25 2.55E+25 2.88E+25 3.11E+25 3.22E+25 3.22E+25 3.13E+25 2.96E+25 2.74E+25 2.47E+25 2.18E+25 1.89E+25 1.60E+25 1.33E+25 1.08E+25 8.67E+24 6.81E+24 5.25E+24 3.98E+24 2.96E+24 2.17E+24 1.56E+24 1.10E+24 7.65E+23 5.22E+23 3.51E+23 2.32E+23
 100.00  2.882  4.14E+29 2.03E+28 4.18E+29 1.48E+26 4.39E+26 7.10E+26 9.52E+26 1.15E+27 1.31E+27 1.42E+27 1.48E+27 1.49E+27 1.46E+27 1.39E+27 1.30E+27 1.18E+27 1.05E+27 9.22E+26 7.91E+26 6.66E+26 5.50E+26 4.47E+26 3.56E+26 2.79E+26 2.15E+26 1.63E+26 1.22E+26 8.91E+25 6.43E+25 4.56E+25 3.18E+25 2.19E+25 1.48E+25
 110.00  3.023  1.64E+31 7.99E+29 1.68E+31 5.57E+27 1.65E+28 2.67E+28 3.59E+28 4.36E+28 4.97E+28 5.40E+28 5.65E+28 5.73E+28 5.65E+28 5.43E+28 5.10E+28 4.68E+28 4.22E+28 3.72E+28 3.23E+28 2.75E+28 2.30E+28 1.89E+28 1.53E+28 1.21E+28 9.49E+27 7.30E+27 5.53E+27 4.12E+27 3.02E+27 2.19E+27 1.55E+27 1.09E+27 7.52E+26
 120.00  3.157  5.53E+32 2.68E+31 5.78E+32 1.79E+29 5.31E+29 8.61E+29 1.16E+30 1.41E+30 1.61E+30 1.76E+30 1.85E+30 1.88E+30 1.87E+30 1.80E+30 1.71E+30 1.58E+30 1.43E+30 1.28E+30 1.12E+30 9.59E+29 8.11E+29 6.74E+29 5.51E+29 4.43E+29 3.51E+29 2.74E+29 2.10E+29 1.59E+29 1.18E+29 8.69E+28 6.28E+28 4.48E+28 3.14E+28
