                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  30.00  1.579  4.50E+14 4.42E+13 6.70E+14 6.04E+11 1.76E+12 2.78E+12 3.59E+12 4.14E+12 4.41E+12 4.42E+12 4.21E+12 3.83E+12 3.34E+12 2.81E+12 2.28E+12 1.78E+12 1.35E+12 9.85E+11 6.98E+11 4.79E+11 3.19E+11 2.06E+11 1.29E+11 7.83E+10 4.62E+10 2.64E+10 1.47E+10 7.93E+09 4.16E+09 2.12E+09 1.05E+09 5.05E+08 2.36E+08
  40.00  1.823  4.76E+17 2.38E+16 3.89E+17 2.79E+14 8.18E+14 1.30E+15 1.70E+15 1.99E+15 2.16E+15 2.21E+15 2.17E+15 2.03E+15 1.84E+15 1.61E+15 1.36E+15 1.11E+15 8.85E+14 6.84E+14 5.14E+14 3.75E+14 2.67E+14 1.85E+14 1.24E+14 8.17E+13 5.22E+13 3.26E+13 1.98E+13 1.17E+13 6.78E+12 3.82E+12 2.10E+12 1.13E+12 5.89E+11
  50.00  2.038  1.23E+20 6.14E+18 1.06E+20 6.41E+16 1.88E+17 3.01E+17 3.96E+17 4.68E+17 5.15E+17 5.37E+17 5.35E+17 5.13E+17 4.74E+17 4.25E+17 3.70E+17 3.13E+17 2.57E+17 2.06E+17 1.61E+17 1.22E+17 9.10E+16 6.60E+16 4.67E+16 3.23E+16 2.18E+16 1.44E+16 9.29E+15 5.86E+15 3.61E+15 2.18E+15 1.28E+15 7.39E+14 4.17E+14
  60.00  2.233  1.89E+22 9.41E+20 1.71E+22 8.95E+18 2.63E+19 4.23E+19 5.59E+19 6.66E+19 7.40E+19 7.80E+19 7.87E+19 7.66E+19 7.21E+19 6.59E+19 5.85E+19 5.06E+19 4.26E+19 3.51E+19 2.82E+19 2.21E+19 1.69E+19 1.27E+19 9.33E+18 6.70E+18 4.71E+18 3.24E+18 2.18E+18 1.44E+18 9.30E+17 5.89E+17 3.65E+17 2.22E+17 1.32E+17
  70.00  2.411  1.97E+24 9.74E+22 1.84E+24 8.55E+20 2.52E+21 4.06E+21 5.39E+21 6.46E+21 7.23E+21 7.68E+21 7.84E+21 7.71E+21 7.36E+21 6.82E+21 6.15E+21 5.42E+21 4.65E+21 3.90E+21 3.21E+21 2.57E+21 2.02E+21 1.56E+21 1.18E+21 8.69E+20 6.30E+20 4.47E+20 3.12E+20 2.13E+20 1.43E+20 9.38E+19 6.05E+19 3.83E+19 2.38E+19
  80.00  2.578  1.49E+26 7.37E+24 1.44E+26 6.05E+22 1.79E+23 2.88E+23 3.84E+23 4.62E+23 5.20E+23 5.57E+23 5.73E+23 5.69E+23 5.49E+23 5.14E+23 4.70E+23 4.19E+23 3.66E+23 3.12E+23 2.61E+23 2.13E+23 1.71E+23 1.35E+23 1.04E+23 7.85E+22 5.83E+22 4.25E+22 3.04E+22 2.14E+22 1.47E+22 9.99E+21 6.65E+21 4.35E+21 2.79E+21
  90.00  2.734  8.80E+27 4.33E+26 8.69E+27 3.34E+24 9.87E+24 1.60E+25 2.13E+25 2.58E+25 2.91E+25 3.14E+25 3.25E+25 3.25E+25 3.16E+25 3.00E+25 2.77E+25 2.50E+25 2.21E+25 1.91E+25 1.62E+25 1.34E+25 1.09E+25 8.76E+24 6.88E+24 5.30E+24 4.02E+24 2.99E+24 2.19E+24 1.57E+24 1.11E+24 7.73E+23 5.28E+23 3.55E+23 2.34E+23
 100.00  2.882  4.18E+29 2.05E+28 4.22E+29 1.50E+26 4.43E+26 7.17E+26 9.61E+26 1.17E+27 1.32E+27 1.43E+27 1.49E+27 1.50E+27 1.47E+27 1.40E+27 1.31E+27 1.19E+27 1.06E+27 9.31E+26 7.99E+26 6.72E+26 5.56E+26 4.51E+26 3.60E+26 2.82E+26 2.17E+26 1.65E+26 1.23E+26 9.00E+25 6.49E+25 4.61E+25 3.22E+25 2.21E+25 1.49E+25
 110.00  3.023  1.65E+31 8.06E+29 1.70E+31 5.63E+27 1.66E+28 2.70E+28 3.62E+28 4.40E+28 5.02E+28 5.45E+28 5.71E+28 5.78E+28 5.70E+28 5.48E+28 5.14E+28 4.73E+28 4.26E+28 3.76E+28 3.26E+28 2.77E+28 2.32E+28 1.91E+28 1.54E+28 1.22E+28 9.58E+27 7.37E+27 5.58E+27 4.16E+27 3.05E+27 2.21E+27 1.57E+27 1.10E+27 7.59E+26
 120.00  3.157  5.58E+32 2.71E+31 5.83E+32 1.81E+29 5.35E+29 8.69E+29 1.17E+30 1.42E+30 1.63E+30 1.78E+30 1.87E+30 1.90E+30 1.88E+30 1.82E+30 1.72E+30 1.59E+30 1.45E+30 1.29E+30 1.13E+30 9.68E+29 8.18E+29 6.80E+29 5.56E+29 4.47E+29 3.54E+29 2.76E+29 2.12E+29 1.60E+29 1.19E+29 8.77E+28 6.34E+28 4.52E+28 3.17E+28
 130.00  3.286  1.64E+34 7.91E+32 1.73E+34 5.07E+30 1.50E+31 2.44E+31 3.29E+31 4.02E+31 4.60E+31 5.04E+31 5.31E+31 5.43E+31 5.41E+31 5.26E+31 5.00E+31 4.66E+31 4.26E+31 3.82E+31 3.37E+31 2.92E+31 2.49E+31 2.09E+31 1.72E+31 1.40E+31 1.12E+31 8.86E+30 6.89E+30 5.28E+30 3.98E+30 2.96E+30 2.17E+30 1.57E+30 1.12E+30
