                    ************************************************************************************************
                    *  Z= 25 A= 51: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 51 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  30.00  2.331  3.11E+08 2.88E+07 2.99E+08 1.36E+06 2.53E+06 3.37E+06 3.79E+06 3.81E+06 3.50E+06 2.98E+06 2.36E+06 1.76E+06 1.23E+06 8.16E+05 5.10E+05 3.01E+05 1.68E+05 8.93E+04 4.49E+04 2.14E+04 9.71E+03 4.18E+03 1.71E+03 6.64E+02 2.45E+02 8.60E+01 2.87E+01 9.11E+00 2.75E+00 7.90E-01 2.16E-01 5.61E-02 1.39E-02
  40.00  2.691  2.93E+10 1.45E+09 1.64E+10 5.94E+07 1.12E+08 1.51E+08 1.74E+08 1.80E+08 1.72E+08 1.53E+08 1.27E+08 1.01E+08 7.51E+07 5.33E+07 3.60E+07 2.31E+07 1.42E+07 8.29E+06 4.63E+06 2.47E+06 1.26E+06 6.13E+05 2.86E+05 1.28E+05 5.45E+04 2.22E+04 8.70E+03 3.26E+03 1.17E+03 4.01E+02 1.32E+02 4.16E+01 1.25E+01
  50.00  3.009  9.86E+11 4.78E+10 5.74E+11 1.75E+09 3.30E+09 4.52E+09 5.29E+09 5.59E+09 5.47E+09 5.01E+09 4.33E+09 3.55E+09 2.77E+09 2.06E+09 1.47E+09 9.97E+08 6.50E+08 4.06E+08 2.43E+08 1.40E+08 7.72E+07 4.10E+07 2.09E+07 1.02E+07 4.81E+06 2.18E+06 9.48E+05 3.97E+05 1.60E+05 6.19E+04 2.31E+04 8.28E+03 2.86E+03
  60.00  3.296  2.40E+13 1.15E+12 1.45E+13 3.84E+10 7.29E+10 1.01E+11 1.19E+11 1.28E+11 1.27E+11 1.19E+11 1.06E+11 8.91E+10 7.17E+10 5.53E+10 4.09E+10 2.90E+10 1.98E+10 1.30E+10 8.17E+09 4.96E+09 2.91E+09 1.64E+09 8.91E+08 4.67E+08 2.36E+08 1.15E+08 5.43E+07 2.46E+07 1.08E+07 4.57E+06 1.87E+06 7.37E+05 2.81E+05
  70.00  3.560  4.60E+14 2.18E+13 2.87E+14 6.72E+11 1.28E+12 1.78E+12 2.12E+12 2.31E+12 2.33E+12 2.22E+12 2.00E+12 1.73E+12 1.43E+12 1.13E+12 8.60E+11 6.30E+11 4.44E+11 3.02E+11 1.99E+11 1.26E+11 7.71E+10 4.56E+10 2.61E+10 1.44E+10 7.70E+09 3.98E+09 1.99E+09 9.63E+08 4.51E+08 2.04E+08 8.95E+07 3.80E+07 1.56E+07
  80.00  3.806  7.26E+15 3.40E+14 4.64E+15 9.79E+12 1.87E+13 2.61E+13 3.15E+13 3.45E+13 3.52E+13 3.40E+13 3.12E+13 2.74E+13 2.30E+13 1.86E+13 1.45E+13 1.09E+13 7.92E+12 5.56E+12 3.77E+12 2.47E+12 1.57E+12 9.64E+11 5.74E+11 3.31E+11 1.85E+11 1.00E+11 5.25E+10 2.67E+10 1.32E+10 6.31E+09 2.93E+09 1.32E+09 5.76E+08
  90.00  4.037  9.77E+16 4.52E+15 6.38E+16 1.23E+14 2.36E+14 3.30E+14 3.99E+14 4.41E+14 4.55E+14 4.44E+14 4.13E+14 3.67E+14 3.14E+14 2.59E+14 2.06E+14 1.58E+14 1.17E+14 8.43E+13 5.87E+13 3.96E+13 2.59E+13 1.64E+13 1.01E+13 6.03E+12 3.50E+12 1.97E+12 1.07E+12 5.70E+11 2.94E+11 1.47E+11 7.15E+10 3.38E+10 1.55E+10
 100.00  4.255  1.15E+18 5.26E+16 7.64E+17 1.36E+15 2.61E+15 3.66E+15 4.46E+15 4.95E+15 5.15E+15 5.07E+15 4.77E+15 4.29E+15 3.72E+15 3.11E+15 2.52E+15 1.97E+15 1.49E+15 1.09E+15 7.78E+14 5.37E+14 3.60E+14 2.35E+14 1.49E+14 9.13E+13 5.46E+13 3.17E+13 1.79E+13 9.85E+12 5.27E+12 2.74E+12 1.39E+12 6.82E+11 3.27E+11
 110.00  4.463  1.21E+19 5.46E+17 8.13E+18 1.34E+16 2.58E+16 3.64E+16 4.45E+16 4.97E+16 5.21E+16 5.17E+16 4.90E+16 4.46E+16 3.92E+16 3.32E+16 2.72E+16 2.16E+16 1.66E+16 1.24E+16 9.01E+15 6.35E+15 4.35E+15 2.90E+15 1.88E+15 1.19E+15 7.27E+14 4.35E+14 2.53E+14 1.43E+14 7.90E+13 4.24E+13 2.22E+13 1.13E+13 5.63E+12
 120.00  4.661  1.15E+20 5.13E+18 7.82E+19 1.21E+17 2.33E+17 3.29E+17 4.03E+17 4.53E+17 4.77E+17 4.77E+17 4.56E+17 4.19E+17 3.71E+17 3.18E+17 2.64E+17 2.12E+17 1.66E+17 1.26E+17 9.29E+16 6.66E+16 4.65E+16 3.16E+16 2.09E+16 1.35E+16 8.48E+15 5.19E+15 3.10E+15 1.80E+15 1.02E+15 5.64E+14 3.04E+14 1.60E+14 8.20E+13
