                    ************************************************************************************************
                    *  Z= 26 A= 56: Positive-Parity Spin-dependent Level Density [MeV-1] for Fe 56 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  30.00  2.111  9.05E+07 5.24E+06 7.05E+07 8.57E+04 2.49E+05 3.90E+05 4.95E+05 5.59E+05 5.81E+05 5.64E+05 5.16E+05 4.49E+05 3.70E+05 2.92E+05 2.19E+05 1.56E+05 1.07E+05 6.93E+04 4.26E+04 2.48E+04 1.35E+04 6.90E+03 3.23E+03 1.39E+03 5.39E+02 1.87E+02 5.35E+01 1.31E+01 1.50E+00 4.84E-02 1.00E-30 1.00E-30 1.00E-30
  40.00  2.438  2.59E+09 1.15E+08 1.64E+09 1.68E+06 4.88E+06 7.66E+06 9.85E+06 1.13E+07 1.19E+07 1.18E+07 1.11E+07 9.91E+06 8.47E+06 6.93E+06 5.43E+06 4.07E+06 2.93E+06 2.02E+06 1.41E+06 9.06E+05 5.60E+05 3.31E+05 1.88E+05 1.02E+05 5.18E+04 2.48E+04 1.12E+04 4.75E+03 1.86E+03 6.88E+02 1.99E+02 1.24E+01 2.23E+00
  50.00  2.725  4.22E+10 1.97E+09 2.99E+10 2.54E+07 7.43E+07 1.18E+08 1.53E+08 1.77E+08 1.90E+08 1.92E+08 1.85E+08 1.71E+08 1.51E+08 1.28E+08 1.04E+08 8.23E+07 6.25E+07 4.59E+07 3.24E+07 2.21E+07 1.45E+07 9.17E+06 5.57E+06 3.25E+06 1.81E+06 9.69E+05 4.94E+05 2.39E+05 1.10E+05 4.73E+04 1.91E+04 7.16E+03 2.48E+03
  60.00  2.985  7.86E+11 3.49E+10 5.58E+11 4.08E+08 1.20E+09 1.90E+09 2.49E+09 2.92E+09 3.16E+09 3.25E+09 3.18E+09 3.00E+09 2.70E+09 2.35E+09 1.98E+09 1.62E+09 1.27E+09 9.68E+08 7.16E+08 5.12E+08 3.55E+08 2.38E+08 1.54E+08 9.64E+07 5.82E+07 3.39E+07 1.89E+07 1.02E+07 5.24E+06 2.58E+06 1.22E+06 5.41E+05 2.28E+05
  70.00  3.225  1.61E+13 8.17E+11 1.34E+13 8.96E+09 2.64E+10 4.20E+10 5.52E+10 6.51E+10 7.15E+10 7.41E+10 7.34E+10 6.98E+10 6.38E+10 5.63E+10 4.81E+10 3.97E+10 3.18E+10 2.47E+10 1.84E+10 1.34E+10 9.43E+09 6.43E+09 4.25E+09 2.72E+09 1.68E+09 1.01E+09 5.76E+08 3.16E+08 1.68E+08 8.44E+07 4.07E+07 1.91E+07 8.61E+06
  80.00  3.447  2.52E+14 1.18E+13 2.00E+14 1.24E+11 3.64E+11 5.82E+11 7.65E+11 9.05E+11 9.92E+11 1.04E+12 1.03E+12 9.91E+11 9.17E+11 8.20E+11 7.10E+11 5.97E+11 4.87E+11 3.86E+11 2.98E+11 2.22E+11 1.62E+11 1.14E+11 7.82E+10 5.21E+10 3.36E+10 2.10E+10 1.28E+10 7.47E+09 4.23E+09 2.31E+09 1.21E+09 6.12E+08 2.97E+08
  90.00  3.656  3.22E+15 1.50E+14 2.62E+15 1.48E+12 4.34E+12 6.96E+12 9.18E+12 1.09E+13 1.21E+13 1.27E+13 1.28E+13 1.23E+13 1.15E+13 1.04E+13 9.19E+12 7.85E+12 6.52E+12 5.27E+12 4.15E+12 3.18E+12 2.37E+12 1.72E+12 1.22E+12 8.36E+11 5.59E+11 3.63E+11 2.29E+11 1.41E+11 8.35E+10 4.81E+10 2.68E+10 1.44E+10 7.44E+09
 100.00  3.854  3.56E+16 1.63E+15 2.91E+16 1.54E+13 4.52E+13 7.26E+13 9.61E+13 1.14E+14 1.27E+14 1.34E+14 1.36E+14 1.32E+14 1.25E+14 1.14E+14 1.01E+14 8.74E+13 7.34E+13 6.01E+13 4.80E+13 3.73E+13 2.83E+13 2.08E+13 1.51E+13 1.05E+13 7.23E+12 4.81E+12 3.12E+12 1.97E+12 1.20E+12 7.16E+11 4.14E+11 2.31E+11 1.25E+11
 110.00  4.042  3.67E+17 1.67E+16 3.06E+17 1.51E+14 4.44E+14 7.15E+14 9.49E+14 1.13E+15 1.27E+15 1.34E+15 1.37E+15 1.34E+15 1.27E+15 1.17E+15 1.05E+15 9.20E+14 7.83E+14 6.49E+14 5.25E+14 4.15E+14 3.20E+14 2.40E+14 1.77E+14 1.27E+14 8.86E+13 6.04E+13 4.01E+13 2.60E+13 1.64E+13 1.00E+13 6.00E+12 3.47E+12 1.95E+12
 120.00  4.222  3.11E+18 1.38E+17 2.59E+18 1.19E+15 3.52E+15 5.67E+15 7.54E+15 9.05E+15 1.01E+16 1.08E+16 1.10E+16 1.09E+16 1.04E+16 9.70E+15 8.78E+15 7.73E+15 6.65E+15 5.58E+15 4.57E+15 3.66E+15 2.86E+15 2.19E+15 1.64E+15 1.19E+15 8.52E+14 5.94E+14 4.04E+14 2.68E+14 1.74E+14 1.09E+14 6.75E+13 4.04E+13 2.35E+13
 130.00  4.394  2.38E+19 1.04E+18 2.00E+19 8.67E+15 2.56E+16 4.13E+16 5.50E+16 6.61E+16 7.45E+16 7.96E+16 8.18E+16 8.12E+16 7.81E+16 7.31E+16 6.66E+16 5.92E+16 5.13E+16 4.35E+16 3.61E+16 2.92E+16 2.32E+16 1.80E+16 1.36E+16 1.01E+16 7.32E+15 5.20E+15 3.61E+15 2.44E+15 1.62E+15 1.04E+15 6.61E+14 4.07E+14 2.44E+14
